SL No.,name,state,district,latitude ,longitude ,coalQty,electricityConsumed,transportation,deforestedArea,coal,electricity,fuel,transport,deforestation,carbonFootprint,description,image
238,ADASA UG TO OC,Maharashtra ,Nagpur,21.3399,78.9538,4000,36000,28,0.2,9.68,25.776,2.8,0.007476,0.1101,35.573576,OC,
239,"UMRER EXPN. (AMB RIVER
DIVERSION PHASE - IV)",Maharashtra ,Nagpur,20.8658,79.2839,4850000,43650000,9720,242.5,11737,31253.4,972,2.59524,133.49625,43126.49149,OC,
240,MAKARDHOKRA.I,Maharashtra ,Nagpur,20.8565,79.2544,2000000,18000000,4020,100,4840,12888,402,1.07334,55.05,17784.12334,OC,
241,MAKARDHOKRA-III / DINESH,Maharashtra ,Nagpur,20.8764,79.2235,4140000,37260000,8300,207,10018.8,26678.16,830,2.2161,113.9535,36813.1296,OC,
242,GOKUL,Maharashtra ,Nagpur,20.6726,79.2972,1870000,16830000,3760,93.5,4525.4,12050.28,376,1.00392,51.47175,16628.15567,OC,
243,Belgaon (CAPTIVE),Maharashtra ,Nagpur,20.8336,79.337,270000,2430000,560,13.5,653.4,1739.88,56,0.14952,7.43175,2400.86127,OC,
244,AMELIA NORTH MINE ,Madhya Pradesh,Singrauli,24.1346,82.4264,2800000,25200000,5620,140,6776,18043.2,562,1.50054,77.07,24897.77054,OC,
245,JHINGURDA,Madhya Pradesh,Singrauli,24.1917,82.72083,2630000,23670000,5280,131.5,6364.6,16947.72,528,1.40976,72.39075,23386.12051,OC,
246,JAYANT,Madhya Pradesh,Singrauli,24.151,82.6579,19530000,175770000,39080,976.5,47262.6,125851.32,3908,10.43436,537.56325,173661.9176,OC,
247,AMLOHRI,Madhya Pradesh,Singrauli,24.1417,82.5917,13470000,121230000,26960,673.5,32597.4,86800.68,2696,7.19832,370.76175,119776.0401,OC,
248,NIGAHI,Madhya Pradesh,Singrauli,24.1539,82.6322,19590000,176310000,39200,979.5,47407.8,126237.96,3920,10.4664,539.21475,174195.4412,OC,
249,BLOCK - B,Madhya Pradesh,Singrauli,24.1756,82.565,5470000,49230000,10960,273.5,13237.4,35248.68,1096,2.92632,150.56175,48639.56807,OC,
250,Mohar & Moher-Amlori Extension Coal Mine,Madhya Pradesh,Singrauli,24.1358,82.5915,18699000,168291000,37418,934.95,45251.58,120496.356,3741.8,9.990606,514.689975,166272.6166,OC,
251,CHHATARPUR-I,Madhya Pradesh,Betul,22.15,78.1,370000,8880000,375,3.7,895.4,6358.08,37.5,0.100125,2.03685,7255.616975,UG,
252,CHHATARPUR.II,Madhya Pradesh,Betul,22.1417,78.1,80000,1920000,85,0.8,193.6,1374.72,8.5,0.022695,0.4404,1568.783095,UG,
253,SHOBHAPUR,Madhya Pradesh,Betul,22.15,78.125,170000,4080000,175,1.7,411.4,2921.28,17.5,0.046725,0.93585,3333.662575,UG,
254,SARNI,Madhya Pradesh,Betul,22.1167,78.15,130000,3120000,135,1.3,314.6,2233.92,13.5,0.036045,0.71565,2549.271695,UG,
255,TAWA.I,Madhya Pradesh,Betul,22.1458,78.1667,430000,10320000,435,4.3,1040.6,7389.12,43.5,0.116145,2.36715,8432.203295,UG,
256,TAWA-II,Madhya Pradesh,Betul,22.1542,78.1917,320000,7680000,325,3.2,774.4,5498.88,32.5,0.086775,1.7616,6275.128375,UG,
257,NEHERIYA,Madhya Pradesh,Chhindwara,22.2451,78.9817,330000,7920000,335,3.3,798.6,5670.72,33.5,0.089445,1.81665,6471.226095,UG,
258,MATHANI,Madhya Pradesh,Chhindwara,22.2389,78.9311,120000,2880000,125,1.2,290.4,2062.08,12.5,0.033375,0.6606,2353.173975,UG,
259,JAMUNIA,Madhya Pradesh,Chhindwara,22.2911,78.9667,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
260,VISHNUPURI-II,Madhya Pradesh,Chhindwara,22.199,78.8626,100000,2400000,105,1,242,1718.4,10.5,0.028035,0.5505,1960.978535,UG,
261,MAHADEVPURI,Madhya Pradesh,Chhindwara,22.1806,78.7698,100000,2400000,105,1,242,1718.4,10.5,0.028035,0.5505,1960.978535,UG,
262,NEW SETHIA,Madhya Pradesh,Chhindwara,22.2153,78.8501,400000,3600000,820,20,968,2577.6,82,0.21894,11.01,3556.82894,OC,
263,CHHINDA,Madhya Pradesh,Chhindwara,22.2083,78.8333,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
264,BARKUI,Madhya Pradesh,Chhindwara,22.1958,78.6875,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
265,URDHAN,Madhya Pradesh,Chhindwara,22.2786,78.9578,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
266,SHIVPURI,Madhya Pradesh,Chhindwara,22.2036,78.8901,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
267,TANDSI ,Madhya Pradesh,Chhindwara,22.1857,78.3235,180000,4320000,185,1.8,435.6,3093.12,18.5,0.049395,0.9909,3529.760295,UG,
268,NANDAN.II,Madhya Pradesh,Chhindwara,22.2131,78.4357,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
269,"GHORAWARI MINE NO.II
(BHARAT)",Madhya Pradesh,Chhindwara,21.985785,79.311276,440000,3960000,900,22,1064.8,2835.36,90,0.2403,12.111,3912.5113,OC,
270,"GHORAWARI
NO.1(.THARNA UG &
GHORWARI 16/17 OC)",Madhya Pradesh,Chhindwara,21.895785,79.281128,200000,3200000,334,100,484,2291.2,33.4,0.089178,55.05,2830.339178,Mixed,
271,"MOHAN
(MOHAN/MAURT UG &
MOHAN OC)",Madhya Pradesh,Chhindwara,22.179333,78.677592,440000,7040000,718,220,1064.8,5040.64,71.8,0.191706,121.11,6226.741706,Mixed,
272,SIAL GHOGRI MINE  (CAPTIVE),Madhya Pradesh,Chhindwara,22.1607,78.6994,103000,927000,226,5.15,249.26,663.732,22.6,0.060342,2.835075,915.887417,OC,
273,CHURCHA RO,Chhattisgarh,Korea,23.3342,82.52,1590000,38160000,1595,15.9,3847.8,27322.56,159.5,0.425865,8.75295,31179.53882,UG,
274,KATKONA 1&2,Chhattisgarh,Korea,23.3596,82.6808,250000,6000000,255,2.5,605,4296,25.5,0.068085,1.37625,4902.444335,UG,
275,KATKONA 3&4,Chhattisgarh,Korea,23.3567,82.725,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
276,BARTUNGA HILL,Chhattisgarh,Korea,23.174,82.335,160000,3840000,165,1.6,387.2,2749.44,16.5,0.044055,0.8808,3137.564855,UG,
277,KURASIA,Chhattisgarh,Korea,23.1783,82.3682,330000,7920000,335,3.3,798.6,5670.72,33.5,0.089445,1.81665,6471.226095,UG,
278,NCPH R6 NEW,Chhattisgarh,Korea,23.1944,82.3489,350000,8400000,355,3.5,847,6014.4,35.5,0.094785,1.92675,6863.421535,UG,
279,WEST JKD,Chhattisgarh,Korea,23.1972,82.1472,170000,4080000,175,1.7,411.4,2921.28,17.5,0.046725,0.93585,3333.662575,UG,
280,HALDIBARI,Chhattisgarh,Korea,23.2232,82.1501,660000,15840000,665,6.6,1597.2,11341.44,66.5,0.177555,3.6333,12942.45086,UG,
281,CHIRIMIRI  OC,Chhattisgarh,Korea,23.1795,82.3384,1070000,9630000,2160,53.5,2589.4,6895.08,216,0.57672,29.45175,9514.50847,OC,
282,PANDAVPARA,Chhattisgarh,Korea,23.3501,82.7288,350000,8400000,355,3.5,847,6014.4,35.5,0.094785,1.92675,6863.421535,UG,
283,JHILIMILI,Chhattisgarh,Surguja,23.3547,82.7301,340000,8160000,345,3.4,822.8,5842.56,34.5,0.092115,1.8717,6667.323815,UG,
284,KUMDA 7&8,Chhattisgarh,Surguja,23.2074,83.0056,80000,1920000,85,0.8,193.6,1374.72,8.5,0.022695,0.4404,1568.783095,UG,
285,BALRAMPUR,Chhattisgarh,Surguja,23.6169,83.6191,110000,2640000,115,1.1,266.2,1890.24,11.5,0.030705,0.60555,2157.076255,UG,
286,KETKI,Chhattisgarh,Surguja,23.1385,82.8786,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
287,REHAR,Chhattisgarh,Surguja,23.1063,82.9368,130000,3120000,135,1.3,314.6,2233.92,13.5,0.036045,0.71565,2549.271695,UG,
288,GAYATRI,Chhattisgarh,Surguja,23.1097,82.9051,250000,6000000,255,2.5,605,4296,25.5,0.068085,1.37625,4902.444335,UG,
289,BISRAMPUR,Chhattisgarh,Surguja,23.184794,82.979063,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
290,AMGAON,Chhattisgarh,Surguja,23.1367,82.83,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
291,AMERA,Chhattisgarh,Surguja,23.0617,83.0433,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
292,Parsa East and Kanta Basan (CAPTIVE),Chhattisgarh,Surguja,22.8238,82.8124,15000000,135000000,30020,750,36300,96660,3002,8.01534,412.875,133380.8903,OC,
293,MAHAN-II,Chhattisgarh,Balrampur,23.3654,83.2264,2000000,18000000,4020,100,4840,12888,402,1.07334,55.05,17784.12334,OC,
294,JAGANNATHPUR,Chhattisgarh,Balrampur,23.3704,83.215,90000,810000,200,4.5,217.8,579.96,20,0.0534,2.47725,800.29065,OC,
295,BHATGAON,Chhattisgarh,Surajpur,23.3667,83,420000,10080000,425,4.2,1016.4,7217.28,42.5,0.113475,2.3121,8236.105575,UG,
296,MAHAMAYA,Chhattisgarh,Surajpur,23.3815,83.0235,40000,960000,45,0.4,96.8,687.36,4.5,0.012015,0.2202,784.392215,UG,
297,SHIWANI,Chhattisgarh,Surajpur,23.3498,83.0743,310000,7440000,315,3.1,750.2,5327.04,31.5,0.084105,1.70655,6079.030655,UG,
298,NAWAPARA,Chhattisgarh,Surajpur,23.2907,83.0856,150000,3600000,155,1.5,363,2577.6,15.5,0.041385,0.82575,2941.467135,UG,
299,MAHAN,Chhattisgarh,Surajpur,23.3861,83.0183,170000,1530000,360,8.5,411.4,1095.48,36,0.09612,4.67925,1511.65537,OC,
300,VIJAY WEST,Chhattisgarh,Korba,22.8542,82.3211,500000,12000000,505,5,1210,8592,50.5,0.134835,2.7525,9804.887335,UG,
301,RANI ATARI,Chhattisgarh,Korba,22.8647,82.2989,50000,1200000,55,0.5,121,859.2,5.5,0.014685,0.27525,980.489935,UG,
302,RAJGAMAR 4&5,Chhattisgarh,Korba,22.3708,82.8681,130000,3120000,135,1.3,314.6,2233.92,13.5,0.036045,0.71565,2549.271695,UG,
303,SURAKACHHAR MAIN,Chhattisgarh,Korba,22.365,82.6306,190000,4560000,195,1.9,459.8,3264.96,19.5,0.052065,1.04595,3725.858015,UG,
304,SURAKACHHAR 3&4,Chhattisgarh,Korba,22.368,82.6315,100000,2400000,105,1,242,1718.4,10.5,0.028035,0.5505,1960.978535,UG,
305,BALGI,Chhattisgarh,Korba,22.3672,82.6425,120000,2880000,125,1.2,290.4,2062.08,12.5,0.033375,0.6606,2353.173975,UG,
306,DHELWADIH,Chhattisgarh,Korba,22.4616,82.5634,200000,4800000,205,2,484,3436.8,20.5,0.054735,1.101,3921.955735,UG,
307,SINGHALI,Chhattisgarh,Korba,22.4406,82.5679,380000,9120000,385,3.8,919.6,6529.92,38.5,0.102795,2.0919,7451.714695,UG,
308,BAGDEVA,Chhattisgarh,Korba,22.3863,82.535,390000,9360000,395,3.9,943.8,6701.76,39.5,0.105465,2.14695,7647.812415,UG,
309,MANIKPUR,Chhattisgarh,Korba,22.3208,82.725,4900000,44100000,9820,245,11858,31575.6,982,2.62194,134.8725,43571.09444,OC,
310,SARAIPALLI,Chhattisgarh,Korba,22.373166,82.32283,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
311,KUSMUNDA,Chhattisgarh,Korba,22.3067,82.6732,42330000,380970000,84680,2116.5,102438.6,272774.52,8468,22.60956,1165.13325,376400.8628,OC,
312,GEVRA OC,Chhattisgarh,Korba,22.3308,82.5958,45000000,405000000,90020,2250,108900,289980,9002,24.03534,1238.625,400142.6603,OC,
313,DIPKA,Chhattisgarh,Korba,22.3225,82.5363,25180000,226620000,50380,1259,60935.6,162259.92,5038,13.45146,693.0795,223902.051,OC,
314,Chotia opencast coal mine (CAPTIVE),Chhattisgarh,Korba,22.8556,82.5372,1000000,9000000,2020,50,2420,6444,202,0.53934,27.525,8892.06434,OC,
315,CHHAL ,Chhattisgarh,Raigarh,22.0926,83.1278,1470000,13230000,2960,73.5,3557.4,9472.68,296,0.79032,40.46175,13071.33207,OC,
316,BAROUD,Chhattisgarh,Raigarh,22.2678,83.3457,2700000,24300000,5420,135,6534,17398.8,542,1.44714,74.3175,24008.56464,OC,
317,JAMPALI,Chhattisgarh,Raigarh,22.2843,83.3025,2240000,20160000,4500,112,5420.8,14434.56,450,1.2015,61.656,19918.2175,OC,
318,BIJARI,Chhattisgarh,Raigarh,20.1528,83.2133,1650000,14850000,3320,82.5,3993,10632.6,332,0.88644,45.41625,14671.90269,OC,
319,GARE PALMA IV/1 (CAPTIVE),Chhattisgarh,Raigarh,22.1125,83.5469,760000,6840000,1540,38,1839.2,4897.44,154,0.41118,20.919,6757.97018,OC,
320,GARE PALMA IV/2&3 (CAPTIVE),Chhattisgarh,Raigarh,22.1199,83.5362,2660000,23940000,5340,133,6437.2,17141.04,534,1.42578,73.2165,23652.88228,OC,
321,GARE PALMA V/4 (CAPTIVE),Chhattisgarh,Raigarh,22.15,83.5415,548000,4932000,1116,27.4,1326.16,3531.312,111.6,0.297972,15.0837,4872.853672,OC,
322,GARE PALMA IV/5 (CAPTIVE),Chhattisgarh,Raigarh,22.1621,83.5321,126000,1134000,272,6.3,304.92,811.944,27.2,0.072624,3.46815,1120.404774,OC,
323,Gare Palma IV/8 (CAPTIVE),Chhattisgarh,Raigarh,22.1708,83.4944,407000,3663000,834,20.35,984.94,2622.708,83.4,0.222678,11.202675,3619.073353,OC,
324,Talaipalli coal mine,Chhattisgarh,Raigarh,22.1765,83.3551,190000,1710000,400,9.5,459.8,1224.36,40,0.1068,5.22975,1689.49655,OC,
325,RAJNAGAR R.O.,Madhya Pradesh,Anuppur,23.1897,82.132,270000,6480000,275,2.7,653.4,4639.68,27.5,0.073425,1.48635,5294.639775,UG,
326,JHIRIA,Madhya Pradesh,Anuppur,23.1523,82.1511,220000,5280000,225,2.2,532.4,3780.48,22.5,0.060075,1.2111,4314.151175,UG,
327,BIJURI,Madhya Pradesh,Anuppur,23.2588,82.1216,220000,5280000,225,2.2,532.4,3780.48,22.5,0.060075,1.2111,4314.151175,UG,
328,BEHERABAND,Madhya Pradesh,Anuppur,23.3,82.1,560000,13440000,565,5.6,1355.2,9623.04,56.5,0.150855,3.0828,10981.47366,UG,
329,KURJA/ SHEETALDHARA,Madhya Pradesh,Anuppur,23.2398,82.1132,330000,7920000,335,3.3,798.6,5670.72,33.5,0.089445,1.81665,6471.226095,UG,
330,KAPILDHARA,Madhya Pradesh,Anuppur,23.17747,82.196945,390000,9360000,395,3.9,943.8,6701.76,39.5,0.105465,2.14695,7647.812415,UG,
331,RAJNAGAR,Madhya Pradesh,Anuppur,23.2117,82.1269,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
332,JAMUNA 1 & 2,Madhya Pradesh,Anuppur,23.1681,81.9424,150000,3600000,155,1.5,363,2577.6,15.5,0.041385,0.82575,2941.467135,UG,
333,JAMUNA 9 &10,Madhya Pradesh,Anuppur,23.1631,81.9324,190000,4560000,195,1.9,459.8,3264.96,19.5,0.052065,1.04595,3725.858015,UG,
334,MEERA,Madhya Pradesh,Anuppur,23.1863,81.9797,140000,3360000,145,1.4,338.8,2405.76,14.5,0.038715,0.7707,2745.369415,UG,
335,BARTARAI / AMADAND,Madhya Pradesh,Anuppur,23.1368,82.0657,280000,6720000,285,2.8,677.6,4811.52,28.5,0.076095,1.5414,5490.737495,UG,
336,BHADRA 7 / 8,Madhya Pradesh,Anuppur,23.1889,81.9324,80000,1920000,85,0.8,193.6,1374.72,8.5,0.022695,0.4404,1568.783095,UG,
337,AMADAND,Madhya Pradesh,Anuppur,23.1436,82.0579,1640000,14760000,3300,82,3968.8,10568.16,330,0.8811,45.141,14582.9821,OC,
338,DHANPURI,Madhya Pradesh,Shahdol,23.1541,81.5843,1150000,10350000,2320,57.5,2783,7410.6,232,0.61944,31.65375,10225.87319,OC,
339,RAJENDRA,Madhya Pradesh,Shahdol,23.1531,81.491,240000,5760000,245,2.4,580.8,4124.16,24.5,0.065415,1.3212,4706.346615,UG,
340,BANGWAR ,Madhya Pradesh,Shahdol,23.1542,81.5361,650000,15600000,655,6.5,1573,11169.6,65.5,0.174885,3.57825,12746.35314,UG,
341,DAMINI,Madhya Pradesh,Shahdol,23.145,81.4633,220000,5280000,225,2.2,532.4,3780.48,22.5,0.060075,1.2111,4314.151175,UG,
342,KHAIRAHA,Madhya Pradesh,Shahdol,23.1543,81.4589,820000,19680000,825,8.2,1984.4,14090.88,82.5,0.220275,4.5141,16080.01438,UG,
343,SHARDA HIGHWALL,Madhya Pradesh,Shahdol,23.2084,81.5896,840000,20160000,845,8.4,2032.8,14434.56,84.5,0.225615,4.6242,16472.20982,UG,
344,AMLAI,Madhya Pradesh,Shahdol,23.1502,81.5514,1310000,11790000,2640,65.5,3170.2,8441.64,264,0.70488,36.05775,11648.60263,OC,
345,PALI   UG,Madhya Pradesh,Umaria,23.5863,80.7501,130000,3120000,135,1.3,314.6,2233.92,13.5,0.036045,0.71565,2549.271695,UG,
346,NOWROZABAD(W),Madhya Pradesh,Umaria,23.3588,80.989,60000,1440000,65,0.6,145.2,1031.04,6.5,0.017355,0.3303,1176.587655,UG,
347,PINOURA,Madhya Pradesh,Umaria,23.339,80.936,160000,3840000,165,1.6,387.2,2749.44,16.5,0.044055,0.8808,3137.564855,UG,
348,UMARIA,Madhya Pradesh,Umaria,23.525,80.8333,150000,3600000,155,1.5,363,2577.6,15.5,0.041385,0.82575,2941.467135,UG,
349,PIPARIA,Madhya Pradesh,Umaria,23.5238,80.8622,70000,1680000,75,0.7,169.4,1202.88,7.5,0.020025,0.38535,1372.685375,UG,
350,VINDHYA,Madhya Pradesh,Umaria,23.3356,80.9058,160000,3840000,165,1.6,387.2,2749.44,16.5,0.044055,0.8808,3137.564855,UG,
351,KANCHAN OC,Madhya Pradesh,Umaria,23.3419,80.8626,140000,1260000,300,7,338.8,902.16,30,0.0801,3.8535,1244.8936,OC,
352,TALCHER,Orissa,Angul ,20.91234,85.114509,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
353,NANDIRA,Orissa,Angul ,20.92738,85.124509,85000,2040000,90,0.85,205.7,1460.64,9,0.02403,0.467925,1666.831955,UG,
354,DEULBERA,Orissa,Angul ,20.9513,85.2069,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
355,HANDIDHUA,Orissa,Angul ,20.94553,85.19856,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
356,BHARATPUR,Orissa,Angul ,20.9604,85.1264,4781000,43029000,9582,239.05,11570.02,30808.764,958.2,2.558394,131.597025,42512.93942,OC,
357,CHHENDIPARA,Orissa,Angul ,21.0758,84.8769,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
358,HINGULA,Orissa,Angul ,20.9531,85.0315,6582000,59238000,13184,329.1,15928.44,42414.408,1318.4,3.520128,181.16955,58527.53768,OC,
359,BALRAM,Orissa,Angul ,20.9514,85.0627,5234000,47106000,10488,261.7,12666.28,33727.896,1048.8,2.800296,144.06585,46541.04215,OC,
360,JAGANNATH,Orissa,Angul ,20.9578,85.1424,3453000,31077000,6926,172.65,8356.26,22251.132,692.6,1.849242,95.043825,30704.28507,OC,
361,BHUBANESWARI,Orissa,Angul ,20.9725,85.1732,28000000,252000000,56020,1400,67760,180432,5602,14.95734,770.7,248977.6573,OC,
362,ANANTA,Orissa,Angul ,20.94429,85.16593,10932000,98388000,21884,546.6,26455.44,70445.808,2188.4,5.843028,300.9033,97207.99433,OC,
363,LINGRAJ,Orissa,Angul ,20.96289,85.21331,14007000,126063000,28034,700.35,33896.94,90261.108,2803.4,7.485078,385.542675,124551.0758,OC,
364,KANIHA,Orissa,Angul ,21.0791,85.042,7533000,67797000,15086,376.65,18229.86,48542.652,1508.6,4.027962,207.345825,66983.88579,OC,
365,LAJKURA,Orissa,Jharsuguda,21.3214,83.9007,2840000,25560000,5700,142,6872.8,18300.96,570,1.5219,78.171,25253.4529,OC,
366,SAMALESWARI,Orissa,Jharsuguda,21.3014,83.9032,4611000,41499000,9242,230.55,11158.62,29713.284,924.2,2.467614,126.917775,41001.28939,OC,
367,BELPAHAR,Orissa,Jharsuguda,21.75,83.8417,7510000,67590000,15040,375.5,18174.2,48394.44,1504,4.01568,206.71275,66779.36843,OC,
368,LAKHANPUR,Orissa,Jharsuguda,21.7451,83.8401,21000000,189000000,42020,1050,50820,135324,4202,11.21934,578.025,186733.2443,OC,
369,LILARI,Orissa,Jharsuguda,21.7786,83.8568,0,0,20,0,0,0,2,0.00534,0,0.00534,OC,
370,MINE NO. 1&2,Orissa,Jharsuguda,21.8331,83.9183,314000,7536000,319,3.14,759.88,5395.776,31.9,0.085173,1.72857,6157.469743,UG,
371,MINE NO.3,Orissa,Jharsuguda,21.8432,83.9088,41000,984000,46,0.41,99.22,704.544,4.6,0.012282,0.225705,804.001987,UG,
372,HIRAKHAND BUNDIA INCLINE,Orissa,Jharsuguda,21.7819,83.9151,395000,9480000,400,3.95,955.9,6787.68,40,0.1068,2.174475,7745.861275,UG,
373,MINE NO.4,Orissa,Jharsuguda,21.8408,83.9154,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
374,Dulanga coal mine (CAPTIVE),Orissa,Jharsuguda/ Sundergarh,21.4347,83.7985,1540000,13860000,3100,77,3726.8,9923.76,310,0.8277,42.3885,13693.7762,OC,
375,KULDA,Orissa,Sundergarh,22.034,83.7421,13627000,122643000,27274,681.35,32977.34,87812.388,2727.4,7.282158,375.083175,121172.0933,OC,
376,GARJANBAHAL,Orissa,Sundergarh,22.0108,83.7576,7592000,68328000,15204,379.6,18372.64,48922.848,1520.4,4.059468,208.9698,67508.51727,OC,
377,BASUNDHARA (W),Orissa,Sundergarh,22.0699,83.6892,1820000,16380000,3660,91,4404.4,11728.08,366,0.97722,50.0955,16183.55272,OC,
378,Talabira II,Orissa,Sambalpur,21.7344,83.9917,10,90,20.02,0.0005,0.0242,0.06444,2.002,0.00534534,0.00027525,0.09426059,OC,
379,Talabira III,Orissa,Sambalpur,21.7372,83.9921,10,90,20.02,0.0005,0.0242,0.06444,2.002,0.00534534,0.00027525,0.09426059,OC,
380,Talabira I (CAPTIVE),Orissa,Sambalpur,21.7299,83.9958,270000,2430000,560,13.5,653.4,1739.88,56,0.14952,7.43175,2400.86127,OC,
381,Tipong,Assam,Tinsukia,27.3039,95.8556,0,0,5,0,0,0,0.5,0.001335,0,0.001335,UG,
382,Tirap,Assam,Tinsukia,27.2924,95.7904,450000,4050000,920,22.5,1089,2899.8,92,0.24564,12.38625,4001.43189,OC,
383,Tikak,Assam,Tinsukia,27.2836,95.7334,70000,630000,160,3.5,169.4,451.08,16,0.04272,1.92675,622.44947,OC,
384,Mine I & Expansion ,Tamil Nadu,Cuddalore,11.5709,79.50805,7980000,71820000,15980,399,19311.6,51423.12,1598,4.26666,219.6495,70958.63616,OC,
385,Mine I A,Tamil Nadu,Cuddalore,11.57352,79.51781,2970000,26730000,5960,148.5,7187.4,19138.68,596,1.59132,81.74925,26409.42057,OC,
386,Mine II & Expansion ,Tamil Nadu,Cuddalore,11.520268,79.475537,12510000,112590000,25040,625.5,30274.2,80614.44,2504,6.68568,344.33775,111239.6634,OC,
387,Tadkeshwar Lignite Mine (CAPTIVE),Gujarat,Surat,21.3403,73.0847,1270000,11430000,2560,63.5,3073.4,8183.88,256,0.68352,34.95675,11292.92027,OC,
388,Vastan Lignite (CAPTIVE),Gujarat,Surat,21.3825,73.0906,280000,2520000,580,14,677.6,1804.32,58,0.15486,7.707,2489.78186,OC,
389,Mangrol-Valia Lignite Mine (CAPTIVE),Gujarat,Surat,21.4167,73.1,3060000,27540000,6140,153,7405.2,19718.64,614,1.63938,84.2265,27209.70588,OC,
390,Rajpardi Lignite Mine (Amod G - 19 Extension Lignite Mine) (CAPTIVE),Gujarat,Bharuch,21.7033,73.2172,920000,8280000,1860,46,2226.4,5928.48,186,0.49662,25.323,8180.69962,OC,
391,Panandhro Lignite Mine (CAPTIVE),Gujarat,Kutch,23.6961,68.786,710000,6390000,1440,35.5,1718.2,4575.24,144,0.38448,19.54275,6313.36723,OC,
392,Mata No Madh Lignite Mine (CAPTIVE),Gujarat,Kutch,23.29,68.59,2850000,25650000,5720,142.5,6897,18365.4,572,1.52724,78.44625,25342.37349,OC,
393,Umarsar Lignite Mine (CAPTIVE),Gujarat,Kutch,23.42,68.53,1360000,12240000,2740,68,3291.2,8763.84,274,0.73158,37.434,12093.20558,OC,
394,Bhavnagar Lignite Mine (Surkha (North) Lignite Mine) (CAPTIVE),Gujarat,Bhavnagar,21.2643,72.163,550000,4950000,1120,27.5,1331,3544.2,112,0.29904,15.13875,4890.63779,OC,
395,KHADSALIYA LIGNITE MINE (CAPTIVE),Gujarat,Bhavnagar,21.6259,72.2397,60000,540000,140,3,145.2,386.64,14,0.03738,1.6515,533.52888,OC,
396,Kapurdi Lignite Block (CAPTIVE),Rajasthan,Barmer,25.056,71.02122,4500000,40500000,9020,225,10890,28998,902,2.40834,123.8625,40014.27084,OC,
397,Jalipa Lignite Block (CAPTIVE),Rajasthan,Barmer,25.5138,71.2436,910000,8190000,1840,45.5,2202.2,5864.04,184,0.49128,25.04775,8091.77903,OC,
398,Giral mine (CAPTIVE),Rajasthan,Barmer,26.0124,71.1347,190000,1710000,400,9.5,459.8,1224.36,40,0.1068,5.22975,1689.49655,OC,
399,Sonari (CAPTIVE),Rajasthan,Nagaur,25.5709,71.1542,290000,2610000,600,14.5,701.8,1868.76,60,0.1602,7.98225,2578.70245,OC,
400,MATASUKH & KASNAU (CAPTIVE),Rajasthan,Nagaur,27.03,74.024,290000,2610000,600,14.5,701.8,1868.76,60,0.1602,7.98225,2578.70245,OC,
401,Gurha East Lignite Mine (CAPTIVE),Rajasthan,Bikaner,27.52314,72.51259,670000,6030000,1360,33.5,1621.4,4317.48,136,0.36312,18.44175,5957.68487,OC,
402,Barsingsar Mine,Rajasthan,Bikaner,27.4859,73.112,1350000,12150000,2720,67.5,3267,8699.4,272,0.72624,37.15875,12004.28499,OC,
403,Tadicherla  (CAPTIVE),Telangana ,Karimnagar,18.61625,79.72295,1673000,15057000,3366,83.65,4048.66,10780.812,336.6,0.898722,46.049325,14876.42005,OC,
404,GK OC,Telangana ,Bhadradri Kothagudem,17.2615,80.3738,3995176,35956584,8010.352,199.7588,9668.32592,25744.91414,801.0352,2.138763984,109.9672194,35525.34605,OC,
405,JVR OC-II,Telangana ,Bhadradri Kothagudem,17.095459,80.454338,4828857,43459713,9677.714,241.44285,11685.83394,31117.15451,967.7714,2.583949638,132.9142889,42938.48669,OC,
406,JVR OC,Telangana ,Bhadradri Kothagudem,17.1301,80.492,3813674,34323066,7647.348,190.6837,9229.09108,24575.31526,764.7348,2.041841916,104.9713769,33911.41955,OC,
407,KISTARAM OC,Telangana ,Bhadradri Kothagudem,17.2265,80.7865,192418,1731762,404.836,9.6209,465.65156,1239.941592,40.4836,0.108091212,5.29630545,1710.997549,OC,
408,KOYAGUDEM OC-II,Telangana ,Bhadradri Kothagudem,17.6258,80.4845,3500000,31500000,7020,175,8470,22554,702,1.87434,96.3375,31122.21184,OC,
409,JK-5 OC,Telangana ,Bhadradri Kothagudem,17.5783,80.3225,3376755,30390795,6773.51,168.83775,8171.7471,21759.80922,677.351,1.80852717,92.94518138,30026.31003,OC,
